toyota,gold,7952,c1001,2022-05-16 22:45:09
toyota,gold,7952,c1001,2022-05-16 22:45:09
in,toyota,gold,1111,1001,2022-05-17 00:14:55
in,toyota,gold,1111,1001,2022-05-17 00:14:55
in,ford,brown,7952,1002,2022-05-17 00:16:10
in,ford,brown,7952,1002,2022-05-17 00:16:10
in,mazda,red,8006,1003,2022-05-17 00:16:39
in,mazda,red,8006,1003,2022-05-17 00:16:39
in,toyota,red,1a2002,1001,2022-06-03 11:08:50
in,toyota,red,1a2002,1001,2022-06-03 11:08:50
in,suzuki,green,1ab111,1002,2022-06-03 11:09:36
in,suzuki,green,1ab111,1002,2022-06-03 11:09:36
in,ford,brown,1A7952,1001,2022-06-03 11:09:55
in,ford,brown,1A7952,1001,2022-06-03 11:09:55
in,mazda,red,2A8006,1002,2022-06-03 11:12:49
in,mazda,red,2A8006,1002,2022-06-03 11:12:49
in,Ford,Brown,1A7952,1001,2022-06-03 12:39:42
in,Ford,Brown,1A7952,1001,2022-06-03 12:39:42
in,Mazda,Red,1A8006,1002,2022-06-03 12:40:08
in,Mazda,Red,1A8006,1002,2022-06-03 12:40:08
in,Toyota,Gold,1A7128,1003,2022-06-03 12:40:25
in,Toyota,Gold,1A7128,1003,2022-06-03 12:40:25
in,Cat,Threecolor,2B1234,1004,2022-06-03 12:41:10
in,Cat,Threecolor,2B1234,1004,2022-06-03 12:41:10
in,Ford,Brown,1AB7952,1001,2022-06-04 11:17:09
in,Ford,Brown,1AB7952,1001,2022-06-04 11:17:09
in,Mazda,Red,1AB8006,1002,2022-06-04 11:17:27
in,Mazda,Red,1AB8006,1002,2022-06-04 11:17:27
in,Toyota,Gold,1AB7128,1003,2022-06-04 11:17:51
in,Toyota,Gold,1AB7128,1003,2022-06-04 11:17:51
in,Toyota,Gray,1AB1234,1004,2022-06-04 11:18:16
in,Toyota,Gray,1AB1234,1004,2022-06-04 11:18:16
